question,option_a,option_b,option_c,option_d,answer,category,difficulty
Choose the synonym of 'rapid'.,fast,late,weak,small,fast,Verbal,Medium
"If 6 workers finish a task in 7 days, how many worker-days are needed?",44,47,40,42,42,Puzzle,Easy
What is 17 + 24?,44,41,48,39,41,Quantitative,Easy
What is the square of 11?,126,121,120,122,121,Quantitative,Medium
"Find the next letter in the series: J, K, L, ?",L,O,M,N,M,Logical,Medium
Choose the synonym of 'ancient'.,small,late,weak,old,old,Verbal,Hard
"If 5 workers finish a task in 3 days, how many worker-days are needed?",13,20,15,17,15,Puzzle,Medium
What is 92 + 96?,195,188,191,186,188,Quantitative,Medium
What is the square of 8?,63,69,64,65,64,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",I,H,F,G,G,Logical,Easy
Choose the synonym of 'rapid'.,late,fast,weak,small,fast,Verbal,Medium
"If 9 workers finish a task in 7 days, how many worker-days are needed?",68,65,61,63,63,Puzzle,Hard
What is 16 + 17?,33,36,40,31,33,Quantitative,Hard
What is the square of 14?,196,197,195,201,196,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",I,F,G,H,G,Logical,Hard
Choose the synonym of 'rapid'.,fast,late,weak,small,fast,Verbal,Medium
"If 5 workers finish a task in 9 days, how many worker-days are needed?",47,43,50,45,45,Puzzle,Medium
What is 25 + 73?,98,96,105,101,98,Quantitative,Hard
What is the square of 14?,197,201,196,195,196,Quantitative,Hard
"Find the next letter in the series: Q, R, S, ?",U,S,T,V,T,Logical,Medium
Choose the synonym of 'rapid'.,weak,small,late,fast,fast,Verbal,Easy
"If 7 workers finish a task in 9 days, how many worker-days are needed?",68,61,65,63,63,Puzzle,Easy
What is 79 + 25?,102,104,107,111,104,Quantitative,Hard
What is the square of 13?,168,174,169,170,169,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",O,Q,P,N,O,Logical,Medium
Choose the synonym of 'ancient'.,late,old,small,weak,old,Verbal,Easy
"If 5 workers finish a task in 2 days, how many worker-days are needed?",10,8,12,15,10,Puzzle,Hard
What is 17 + 70?,85,87,90,94,87,Quantitative,Hard
What is the square of 19?,366,361,360,362,361,Quantitative,Medium
"Find the next letter in the series: I, J, K, ?",K,N,M,L,L,Logical,Hard
Choose the synonym of 'rapid'.,fast,small,late,weak,fast,Verbal,Hard
"If 9 workers finish a task in 7 days, how many worker-days are needed?",68,65,63,61,63,Puzzle,Easy
What is 93 + 93?,193,184,186,189,186,Quantitative,Medium
What is the square of 12?,143,144,145,149,144,Quantitative,Easy
"Find the next letter in the series: J, K, L, ?",M,L,O,N,M,Logical,Easy
Choose the synonym of 'ancient'.,weak,small,late,old,old,Verbal,Hard
"If 8 workers finish a task in 4 days, how many worker-days are needed?",34,32,30,37,32,Puzzle,Easy
What is 18 + 14?,39,35,32,30,32,Quantitative,Easy
What is the square of 6?,37,36,41,35,36,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",I,F,H,G,G,Logical,Hard
Choose the synonym of 'rapid'.,late,fast,small,weak,fast,Verbal,Easy
"If 9 workers finish a task in 2 days, how many worker-days are needed?",18,16,20,23,18,Puzzle,Medium
What is 37 + 31?,68,66,75,71,68,Quantitative,Medium
What is the square of 5?,26,24,25,30,25,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",X,U,V,W,V,Logical,Easy
Choose the synonym of 'ancient'.,old,weak,late,small,old,Verbal,Hard
"If 7 workers finish a task in 8 days, how many worker-days are needed?",58,56,61,54,56,Puzzle,Hard
What is 52 + 28?,80,78,87,83,80,Quantitative,Medium
What is the square of 3?,8,14,9,10,9,Quantitative,Easy
"Find the next letter in the series: P, Q, R, ?",R,U,T,S,S,Logical,Medium
Choose the synonym of 'honest'.,truthful,weak,small,late,truthful,Verbal,Hard
"If 8 workers finish a task in 7 days, how many worker-days are needed?",61,58,54,56,56,Puzzle,Easy
What is 27 + 35?,69,62,60,65,62,Quantitative,Medium
What is the square of 13?,174,168,169,170,169,Quantitative,Easy
"Find the next letter in the series: L, M, N, ?",O,Q,N,P,O,Logical,Hard
Choose the synonym of 'bright'.,small,weak,late,smart,smart,Verbal,Medium
"If 3 workers finish a task in 9 days, how many worker-days are needed?",27,25,32,29,27,Puzzle,Hard
What is 70 + 34?,107,102,104,111,104,Quantitative,Hard
What is the square of 8?,64,69,63,65,64,Quantitative,Hard
"Find the next letter in the series: J, K, L, ?",N,O,M,L,M,Logical,Easy
Choose the synonym of 'benefit'.,advantage,small,weak,late,advantage,Verbal,Easy
"If 5 workers finish a task in 5 days, how many worker-days are needed?",25,23,30,27,25,Puzzle,Easy
What is 58 + 38?,96,94,99,103,96,Quantitative,Hard
What is the square of 10?,100,101,99,105,100,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",Q,P,R,O,P,Logical,Medium
Choose the synonym of 'ancient'.,late,old,small,weak,old,Verbal,Hard
"If 9 workers finish a task in 9 days, how many worker-days are needed?",86,81,83,79,81,Puzzle,Easy
What is 47 + 21?,66,75,68,71,68,Quantitative,Medium
What is the square of 13?,169,168,170,174,169,Quantitative,Hard
"Find the next letter in the series: U, V, W, ?",W,X,Y,Z,X,Logical,Hard
Choose the synonym of 'honest'.,late,weak,truthful,small,truthful,Verbal,Easy
"If 3 workers finish a task in 9 days, how many worker-days are needed?",29,25,32,27,27,Puzzle,Hard
What is 77 + 40?,120,117,115,124,117,Quantitative,Medium
What is the square of 6?,35,41,36,37,36,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",J,M,K,L,K,Logical,Hard
Choose the synonym of 'ancient'.,old,late,small,weak,old,Verbal,Hard
"If 2 workers finish a task in 4 days, how many worker-days are needed?",10,6,13,8,8,Puzzle,Easy
What is 35 + 90?,132,128,123,125,125,Quantitative,Easy
What is the square of 19?,362,366,361,360,361,Quantitative,Hard
"Find the next letter in the series: L, M, N, ?",P,N,Q,O,O,Logical,Easy
Choose the synonym of 'honest'.,late,small,truthful,weak,truthful,Verbal,Medium
"If 4 workers finish a task in 7 days, how many worker-days are needed?",26,28,30,33,28,Puzzle,Easy
What is 49 + 39?,86,95,88,91,88,Quantitative,Hard
What is the square of 19?,362,360,366,361,361,Quantitative,Medium
"Find the next letter in the series: M, N, O, ?",O,R,Q,P,P,Logical,Medium
Choose the synonym of 'benefit'.,advantage,weak,late,small,advantage,Verbal,Hard
"If 8 workers finish a task in 10 days, how many worker-days are needed?",82,85,78,80,80,Puzzle,Hard
What is 85 + 87?,170,175,172,179,172,Quantitative,Easy
What is the square of 6?,41,36,35,37,36,Quantitative,Hard
"Find the next letter in the series: A, B, C, ?",C,D,E,F,D,Logical,Hard
Choose the synonym of 'ancient'.,old,late,weak,small,old,Verbal,Hard
"If 8 workers finish a task in 5 days, how many worker-days are needed?",38,42,45,40,40,Puzzle,Easy
What is 33 + 38?,78,71,74,69,71,Quantitative,Easy
What is the square of 3?,10,9,8,14,9,Quantitative,Easy
"Find the next letter in the series: F, G, H, ?",J,H,I,K,I,Logical,Medium
Choose the synonym of 'benefit'.,advantage,weak,small,late,advantage,Verbal,Hard
"If 3 workers finish a task in 8 days, how many worker-days are needed?",29,24,22,26,24,Puzzle,Medium
What is 22 + 26?,51,48,55,46,48,Quantitative,Medium
What is the square of 4?,21,15,17,16,16,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",O,Q,N,P,O,Logical,Hard
Choose the synonym of 'ancient'.,weak,old,late,small,old,Verbal,Hard
"If 7 workers finish a task in 2 days, how many worker-days are needed?",12,14,16,19,14,Puzzle,Medium
What is 83 + 24?,105,107,110,114,107,Quantitative,Easy
What is the square of 16?,261,256,255,257,256,Quantitative,Medium
"Find the next letter in the series: S, T, U, ?",W,V,U,X,V,Logical,Hard
Choose the synonym of 'benefit'.,late,small,advantage,weak,advantage,Verbal,Easy
"If 8 workers finish a task in 8 days, how many worker-days are needed?",62,66,64,69,64,Puzzle,Medium
What is 27 + 10?,37,35,44,40,37,Quantitative,Easy
What is the square of 11?,122,120,126,121,121,Quantitative,Easy
"Find the next letter in the series: Q, R, S, ?",V,S,U,T,T,Logical,Medium
Choose the synonym of 'ancient'.,late,small,weak,old,old,Verbal,Medium
"If 7 workers finish a task in 3 days, how many worker-days are needed?",26,23,21,19,21,Puzzle,Easy
What is 23 + 59?,80,85,89,82,82,Quantitative,Easy
What is the square of 13?,174,170,169,168,169,Quantitative,Easy
"Find the next letter in the series: N, O, P, ?",Q,S,P,R,Q,Logical,Hard
Choose the synonym of 'ancient'.,late,small,old,weak,old,Verbal,Easy
"If 2 workers finish a task in 7 days, how many worker-days are needed?",14,16,19,12,14,Puzzle,Easy
What is 89 + 11?,100,107,103,98,100,Quantitative,Hard
What is the square of 16?,257,256,255,261,256,Quantitative,Medium
"Find the next letter in the series: E, F, G, ?",I,H,J,G,H,Logical,Easy
Choose the synonym of 'benefit'.,small,weak,late,advantage,advantage,Verbal,Hard
"If 5 workers finish a task in 7 days, how many worker-days are needed?",37,35,40,33,35,Puzzle,Hard
What is 14 + 42?,54,59,63,56,56,Quantitative,Hard
What is the square of 4?,16,17,21,15,16,Quantitative,Hard
"Find the next letter in the series: G, H, I, ?",I,J,K,L,J,Logical,Easy
Choose the synonym of 'rapid'.,small,fast,weak,late,fast,Verbal,Hard
"If 5 workers finish a task in 2 days, how many worker-days are needed?",12,8,10,15,10,Puzzle,Medium
What is 15 + 53?,68,71,66,75,68,Quantitative,Hard
What is the square of 4?,21,16,17,15,16,Quantitative,Medium
"Find the next letter in the series: B, C, D, ?",E,D,G,F,E,Logical,Hard
Choose the synonym of 'benefit'.,weak,small,advantage,late,advantage,Verbal,Medium
"If 9 workers finish a task in 4 days, how many worker-days are needed?",34,41,38,36,36,Puzzle,Easy
What is 20 + 28?,48,46,51,55,48,Quantitative,Medium
What is the square of 17?,289,288,290,294,289,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",C,E,D,F,D,Logical,Medium
Choose the synonym of 'bright'.,late,smart,small,weak,smart,Verbal,Medium
"If 7 workers finish a task in 6 days, how many worker-days are needed?",44,42,40,47,42,Puzzle,Medium
What is 54 + 91?,143,148,152,145,145,Quantitative,Medium
What is the square of 14?,196,195,201,197,196,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",K,L,J,M,K,Logical,Medium
Choose the synonym of 'bright'.,late,smart,small,weak,smart,Verbal,Easy
"If 4 workers finish a task in 5 days, how many worker-days are needed?",18,22,25,20,20,Puzzle,Easy
What is 43 + 36?,77,86,79,82,79,Quantitative,Hard
What is the square of 18?,323,329,324,325,324,Quantitative,Easy
"Find the next letter in the series: T, U, V, ?",V,X,W,Y,W,Logical,Hard
Choose the synonym of 'benefit'.,late,weak,advantage,small,advantage,Verbal,Hard
"If 9 workers finish a task in 9 days, how many worker-days are needed?",86,83,81,79,81,Puzzle,Hard
What is 64 + 92?,156,163,159,154,156,Quantitative,Easy
What is the square of 19?,360,362,361,366,361,Quantitative,Hard
"Find the next letter in the series: F, G, H, ?",K,H,J,I,I,Logical,Hard
Choose the synonym of 'ancient'.,late,small,weak,old,old,Verbal,Easy
"If 3 workers finish a task in 7 days, how many worker-days are needed?",21,26,23,19,21,Puzzle,Easy
What is 65 + 91?,154,159,156,163,156,Quantitative,Medium
What is the square of 6?,36,41,35,37,36,Quantitative,Easy
"Find the next letter in the series: E, F, G, ?",I,H,G,J,H,Logical,Hard
Choose the synonym of 'bright'.,small,late,weak,smart,smart,Verbal,Medium
"If 10 workers finish a task in 9 days, how many worker-days are needed?",90,88,95,92,90,Puzzle,Hard
What is 20 + 16?,36,43,39,34,36,Quantitative,Medium
What is the square of 16?,261,257,255,256,256,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",P,Q,R,O,P,Logical,Easy
Choose the synonym of 'bright'.,weak,smart,small,late,smart,Verbal,Medium
"If 4 workers finish a task in 3 days, how many worker-days are needed?",10,14,17,12,12,Puzzle,Medium
What is 38 + 98?,143,136,134,139,136,Quantitative,Hard
What is the square of 20?,401,400,399,405,400,Quantitative,Medium
"Find the next letter in the series: B, C, D, ?",G,D,E,F,E,Logical,Easy
Choose the synonym of 'ancient'.,late,weak,small,old,old,Verbal,Hard
"If 5 workers finish a task in 7 days, how many worker-days are needed?",33,40,35,37,35,Puzzle,Hard
What is 36 + 41?,80,75,84,77,77,Quantitative,Medium
What is the square of 13?,168,170,169,174,169,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",U,V,W,T,U,Logical,Medium
Choose the synonym of 'rapid'.,small,late,weak,fast,fast,Verbal,Hard
"If 10 workers finish a task in 6 days, how many worker-days are needed?",62,58,65,60,60,Puzzle,Medium
What is 34 + 52?,89,86,84,93,86,Quantitative,Easy
What is the square of 3?,10,14,9,8,9,Quantitative,Hard
"Find the next letter in the series: N, O, P, ?",S,P,R,Q,Q,Logical,Hard
Choose the synonym of 'benefit'.,late,weak,advantage,small,advantage,Verbal,Medium
"If 7 workers finish a task in 8 days, how many worker-days are needed?",58,54,56,61,56,Puzzle,Medium
What is 66 + 36?,102,100,109,105,102,Quantitative,Medium
What is the square of 4?,17,21,15,16,16,Quantitative,Easy
"Find the next letter in the series: P, Q, R, ?",S,T,R,U,S,Logical,Easy
Choose the synonym of 'honest'.,weak,small,late,truthful,truthful,Verbal,Medium
"If 6 workers finish a task in 6 days, how many worker-days are needed?",38,36,41,34,36,Puzzle,Easy
What is 18 + 31?,56,49,47,52,49,Quantitative,Medium
What is the square of 13?,168,169,174,170,169,Quantitative,Hard
"Find the next letter in the series: G, H, I, ?",I,L,J,K,J,Logical,Hard
Choose the synonym of 'honest'.,late,small,weak,truthful,truthful,Verbal,Hard
"If 9 workers finish a task in 4 days, how many worker-days are needed?",41,38,34,36,36,Puzzle,Hard
What is 69 + 91?,163,158,160,167,160,Quantitative,Medium
What is the square of 7?,49,50,48,54,49,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",W,X,V,U,V,Logical,Hard
Choose the synonym of 'rapid'.,fast,small,weak,late,fast,Verbal,Hard
"If 4 workers finish a task in 3 days, how many worker-days are needed?",14,10,12,17,12,Puzzle,Easy
What is 24 + 23?,47,54,45,50,47,Quantitative,Easy
What is the square of 4?,21,15,17,16,16,Quantitative,Hard
"Find the next letter in the series: J, K, L, ?",L,N,M,O,M,Logical,Easy
Choose the synonym of 'rapid'.,small,weak,late,fast,fast,Verbal,Hard
"If 5 workers finish a task in 3 days, how many worker-days are needed?",17,13,20,15,15,Puzzle,Medium
What is 11 + 63?,72,74,77,81,74,Quantitative,Easy
What is the square of 18?,324,323,325,329,324,Quantitative,Hard
"Find the next letter in the series: N, O, P, ?",S,R,P,Q,Q,Logical,Hard
Choose the synonym of 'bright'.,weak,small,smart,late,smart,Verbal,Medium
"If 7 workers finish a task in 9 days, how many worker-days are needed?",68,63,61,65,63,Puzzle,Medium
What is 40 + 43?,90,86,83,81,83,Quantitative,Medium
What is the square of 19?,360,366,361,362,361,Quantitative,Hard
"Find the next letter in the series: P, Q, R, ?",T,U,S,R,S,Logical,Medium
Choose the synonym of 'ancient'.,small,late,old,weak,old,Verbal,Hard
"If 6 workers finish a task in 3 days, how many worker-days are needed?",16,20,23,18,18,Puzzle,Hard
What is 48 + 52?,107,100,98,103,100,Quantitative,Easy
What is the square of 12?,144,145,143,149,144,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",T,U,W,V,U,Logical,Hard
Choose the synonym of 'benefit'.,late,weak,advantage,small,advantage,Verbal,Medium
"If 4 workers finish a task in 7 days, how many worker-days are needed?",33,30,26,28,28,Puzzle,Hard
What is 82 + 64?,146,153,149,144,146,Quantitative,Easy
What is the square of 4?,15,17,16,21,16,Quantitative,Medium
"Find the next letter in the series: F, G, H, ?",K,I,J,H,I,Logical,Easy
Choose the synonym of 'rapid'.,fast,small,weak,late,fast,Verbal,Hard
"If 4 workers finish a task in 10 days, how many worker-days are needed?",45,42,38,40,40,Puzzle,Medium
What is 71 + 85?,163,156,159,154,156,Quantitative,Easy
What is the square of 18?,329,325,323,324,324,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",F,I,G,H,G,Logical,Medium
Choose the synonym of 'bright'.,smart,late,weak,small,smart,Verbal,Easy
"If 2 workers finish a task in 2 days, how many worker-days are needed?",9,6,4,2,4,Puzzle,Medium
What is 48 + 17?,63,68,72,65,65,Quantitative,Hard
What is the square of 11?,120,121,126,122,121,Quantitative,Easy
"Find the next letter in the series: N, O, P, ?",P,R,S,Q,Q,Logical,Medium
Choose the synonym of 'bright'.,smart,late,weak,small,smart,Verbal,Medium
"If 5 workers finish a task in 6 days, how many worker-days are needed?",28,35,32,30,30,Puzzle,Easy
What is 15 + 88?,103,106,101,110,103,Quantitative,Medium
What is the square of 12?,149,145,144,143,144,Quantitative,Easy
"Find the next letter in the series: M, N, O, ?",Q,P,R,O,P,Logical,Easy
Choose the synonym of 'benefit'.,weak,small,late,advantage,advantage,Verbal,Medium
"If 5 workers finish a task in 4 days, how many worker-days are needed?",18,20,25,22,20,Puzzle,Easy
What is 38 + 85?,123,126,121,130,123,Quantitative,Medium
What is the square of 17?,288,289,290,294,289,Quantitative,Medium
"Find the next letter in the series: R, S, T, ?",V,T,U,W,U,Logical,Hard
Choose the synonym of 'ancient'.,weak,late,old,small,old,Verbal,Medium
"If 2 workers finish a task in 7 days, how many worker-days are needed?",16,19,14,12,14,Puzzle,Medium
What is 80 + 66?,153,149,144,146,146,Quantitative,Medium
What is the square of 17?,288,289,290,294,289,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",U,W,V,T,U,Logical,Medium
Choose the synonym of 'rapid'.,weak,late,fast,small,fast,Verbal,Hard
"If 7 workers finish a task in 2 days, how many worker-days are needed?",19,12,16,14,14,Puzzle,Easy
What is 71 + 32?,101,106,110,103,103,Quantitative,Easy
What is the square of 9?,80,81,82,86,81,Quantitative,Hard
"Find the next letter in the series: T, U, V, ?",W,X,V,Y,W,Logical,Hard
Choose the synonym of 'ancient'.,small,weak,late,old,old,Verbal,Hard
"If 5 workers finish a task in 2 days, how many worker-days are needed?",10,8,15,12,10,Puzzle,Medium
What is 39 + 14?,56,60,53,51,53,Quantitative,Hard
What is the square of 9?,80,82,81,86,81,Quantitative,Hard
"Find the next letter in the series: K, L, M, ?",O,N,M,P,N,Logical,Easy
Choose the synonym of 'rapid'.,small,late,weak,fast,fast,Verbal,Medium
"If 10 workers finish a task in 3 days, how many worker-days are needed?",30,28,35,32,30,Puzzle,Easy
What is 10 + 97?,105,107,110,114,107,Quantitative,Medium
What is the square of 6?,37,41,35,36,36,Quantitative,Hard
"Find the next letter in the series: A, B, C, ?",C,E,F,D,D,Logical,Easy
Choose the synonym of 'ancient'.,weak,small,late,old,old,Verbal,Easy
"If 6 workers finish a task in 2 days, how many worker-days are needed?",12,14,10,17,12,Puzzle,Easy
What is 38 + 79?,117,124,115,120,117,Quantitative,Medium
What is the square of 12?,145,143,144,149,144,Quantitative,Hard
"Find the next letter in the series: L, M, N, ?",P,O,N,Q,O,Logical,Medium
Choose the synonym of 'bright'.,weak,small,smart,late,smart,Verbal,Easy
"If 7 workers finish a task in 5 days, how many worker-days are needed?",40,35,33,37,35,Puzzle,Medium
What is 37 + 96?,140,133,136,131,133,Quantitative,Hard
What is the square of 11?,126,122,120,121,121,Quantitative,Medium
"Find the next letter in the series: B, C, D, ?",F,G,E,D,E,Logical,Medium
Choose the synonym of 'benefit'.,weak,advantage,small,late,advantage,Verbal,Hard
"If 7 workers finish a task in 2 days, how many worker-days are needed?",14,19,16,12,14,Puzzle,Hard
What is 91 + 60?,154,149,151,158,151,Quantitative,Easy
What is the square of 12?,144,149,143,145,144,Quantitative,Easy
"Find the next letter in the series: S, T, U, ?",V,X,U,W,V,Logical,Hard
Choose the synonym of 'benefit'.,advantage,small,weak,late,advantage,Verbal,Medium
"If 7 workers finish a task in 7 days, how many worker-days are needed?",47,51,49,54,49,Puzzle,Medium
What is 82 + 73?,153,158,155,162,155,Quantitative,Easy
What is the square of 20?,401,399,405,400,400,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",Q,R,P,S,Q,Logical,Easy
Choose the synonym of 'ancient'.,late,weak,old,small,old,Verbal,Easy
"If 9 workers finish a task in 3 days, how many worker-days are needed?",25,27,29,32,27,Puzzle,Hard
What is 93 + 33?,129,133,124,126,126,Quantitative,Hard
What is the square of 19?,362,361,360,366,361,Quantitative,Medium
"Find the next letter in the series: D, E, F, ?",F,H,I,G,G,Logical,Easy
Choose the synonym of 'ancient'.,weak,late,small,old,old,Verbal,Medium
"If 2 workers finish a task in 9 days, how many worker-days are needed?",16,20,18,23,18,Puzzle,Hard
What is 39 + 19?,61,58,56,65,58,Quantitative,Easy
What is the square of 13?,170,174,169,168,169,Quantitative,Easy
"Find the next letter in the series: N, O, P, ?",R,P,Q,S,Q,Logical,Easy
Choose the synonym of 'ancient'.,old,small,late,weak,old,Verbal,Easy
"If 5 workers finish a task in 9 days, how many worker-days are needed?",50,43,47,45,45,Puzzle,Easy
What is 37 + 26?,70,61,63,66,63,Quantitative,Hard
What is the square of 9?,81,80,86,82,81,Quantitative,Hard
"Find the next letter in the series: J, K, L, ?",O,L,M,N,M,Logical,Medium
Choose the synonym of 'bright'.,late,weak,small,smart,smart,Verbal,Medium
"If 2 workers finish a task in 10 days, how many worker-days are needed?",22,18,25,20,20,Puzzle,Medium
What is 10 + 17?,27,25,34,30,27,Quantitative,Easy
What is the square of 10?,101,105,99,100,100,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",T,V,W,U,U,Logical,Easy
Choose the synonym of 'bright'.,small,late,weak,smart,smart,Verbal,Medium
"If 7 workers finish a task in 9 days, how many worker-days are needed?",61,65,68,63,63,Puzzle,Hard
